J73NZzOF4YJA6juI6mtr,144,2,1118,144,1,2431
J73NZzOF4YJA6juI6mtr,144,4,1108,144,3,1167
J73NZzOF4YJA6juI6mtr,145,2,1424,145,1,3473
J73NZzOF4YJA6juI6mtr,146,3,1844,146,2,1785
J73NZzOF4YJA6juI6mtr,146,5,1782,146,4,1773
J73NZzOF4YJA6juI6mtr,147,2,2178,147,1,6409
J73NZzOF4YJA6juI6mtr,147,5,2170,147,4,2157
J73NZzOF4YJA6juI6mtr,148,3,2668,148,2,2601
J73NZzOF4YJA6juI6mtr,149,2,3084,149,1,10495
J73NZzOF4YJA6juI6mtr,149,4,3054,149,3,3147
J73NZzOF4YJA6juI6mtr,150,2,3588,150,1,12853
J73NZzOF4YJA6juI6mtr,151,4,4164,151,3,4221
J73NZzOF4YJA6juI6mtr,152,5,4682,152,4,4759
J73NZzOF4YJA6juI6mtr,153,2,5392,153,1,20503
J73NZzOF4YJA6juI6mtr,153,5,5328,153,4,5445
J73NZzOF4YJA6juI6mtr,154,5,5994,154,4,6131
LbEJrv3rYCLNZvdU1WKQ,165,5,1684,165,4,1643
LbEJrv3rYCLNZvdU1WKQ,166,2,2042,166,1,5201
LbEJrv3rYCLNZvdU1WKQ,166,4,2048,166,3,2057
LbEJrv3rYCLNZvdU1WKQ,167,2,2454,167,1,6871
LbEJrv3rYCLNZvdU1WKQ,167,4,2466,167,3,2465
LbEJrv3rYCLNZvdU1WKQ,168,4,2918,168,3,2921
LbEJrv3rYCLNZvdU1WKQ,169,2,3382,169,1,11287
LbEJrv3rYCLNZvdU1WKQ,169,5,3434,169,4,3417
LbEJrv3rYCLNZvdU1WKQ,171,5,4572,171,4,4535
LbEJrv3rYCLNZvdU1WKQ,173,4,5814,173,3,5849
IXjMhYsgKbPfL7EXu6QW,184,4,1522,184,3,1529
IXjMhYsgKbPfL7EXu6QW,185,2,1874,185,1,4217
IXjMhYsgKbPfL7EXu6QW,186,3,2312,186,2,2275
IXjMhYsgKbPfL7EXu6QW,187,4,2700,187,3,2749
IXjMhYsgKbPfL7EXu6QW,189,2,3678,189,1,11721
IXjMhYsgKbPfL7EXu6QW,189,5,3740,189,4,3673
IXjMhYsgKbPfL7EXu6QW,190,2,4242,190,1,14227
IXjMhYsgKbPfL7EXu6QW,190,5,4280,190,4,4249
IXjMhYsgKbPfL7EXu6QW,191,2,4896,191,1,16629
IXjMhYsgKbPfL7EXu6QW,194,4,7044,194,3,7081
9JPZpDKC6FYnJUDfqvls,204,2,1728,204,1,3247
9JPZpDKC6FYnJUDfqvls,205,2,2102,205,1,4531
9JPZpDKC6FYnJUDfqvls,205,4,2092,205,3,2101
9JPZpDKC6FYnJUDfqvls,206,3,2524,206,2,2519
9JPZpDKC6FYnJUDfqvls,207,5,2952,207,4,2987
9JPZpDKC6FYnJUDfqvls,208,3,3456,208,2,3505
9JPZpDKC6FYnJUDfqvls,209,3,3980,209,2,4067
9JPZpDKC6FYnJUDfqvls,209,5,4010,209,4,4041
9JPZpDKC6FYnJUDfqvls,210,3,4592,210,2,4643
9JPZpDKC6FYnJUDfqvls,211,4,5330,211,3,5299
9JPZpDKC6FYnJUDfqvls,213,4,6786,213,3,6767
9JPZpDKC6FYnJUDfqvls,214,2,7616,214,1,24673
D86q8UjHC90ERTHAbw5C,224,2,1934,224,1,3651
D86q8UjHC90ERTHAbw5C,224,4,1944,224,3,1955
D86q8UjHC90ERTHAbw5C,225,3,2380,225,2,2347
D86q8UjHC90ERTHAbw5C,226,4,2810,226,3,2827
D86q8UjHC90ERTHAbw5C,227,3,3320,227,2,3299
D86q8UjHC90ERTHAbw5C,229,3,4404,229,2,4425
D86q8UjHC90ERTHAbw5C,231,4,5702,231,3,5621
D86q8UjHC90ERTHAbw5C,232,4,6480,232,3,6379
D86q8UjHC90ERTHAbw5C,233,3,7122,233,2,7347
D86q8UjHC90ERTHAbw5C,234,4,8080,234,3,7995
SfYeV6quOX84b9Rh3HGF,244,4,2212,244,3,2167
SfYeV6quOX84b9Rh3HGF,247,2,3548,247,1,9101
SfYeV6quOX84b9Rh3HGF,247,4,3640,247,3,3597
SfYeV6quOX84b9Rh3HGF,248,4,4210,248,3,4115
SfYeV6quOX84b9Rh3HGF,249,5,4734,249,4,4849
SfYeV6quOX84b9Rh3HGF,250,4,5538,250,3,5363
SfYeV6quOX84b9Rh3HGF,251,5,6198,251,4,6261
SfYeV6quOX84b9Rh3HGF,252,3,6822,252,2,6789
SfYeV6quOX84b9Rh3HGF,253,5,7988,253,4,7827
SfYeV6quOX84b9Rh3HGF,254,3,8688,254,2,8571
iRuJNuoG2VF88DPeSSNx,264,4,2420,264,3,2421
iRuJNuoG2VF88DPeSSNx,266,2,3344,266,1,7649
iRuJNuoG2VF88DPeSSNx,266,5,3368,266,4,3365
iRuJNuoG2VF88DPeSSNx,267,4,3904,267,3,3917
iRuJNuoG2VF88DPeSSNx,268,4,4492,268,3,4469
iRuJNuoG2VF88DPeSSNx,269,2,5022,269,1,14667
iRuJNuoG2VF88DPeSSNx,270,4,5928,270,3,5787
iRuJNuoG2VF88DPeSSNx,272,3,7386,272,2,7203
iRuJNuoG2VF88DPeSSNx,274,2,9072,274,1,26533
DU6qzQ9B7KknZYMlI13s,284,2,2662,284,1,4721
DU6qzQ9B7KknZYMlI13s,285,2,3124,285,1,6265
DU6qzQ9B7KknZYMlI13s,285,4,3128,285,3,3123
DU6qzQ9B7KknZYMlI13s,286,4,3636,286,3,3637
